fold,representation,model,class_weight,prob_decile,n_obs,avg_pred,avg_actual
1,active_filled_pca,fixed_10_balanced,balanced,0,13374,0.006832452264981103,0.058621205323762526
1,active_filled_pca,fixed_10_balanced,balanced,1,713,0.1424379645266671,0.31837307152875177
1,active_filled_pca,fixed_10_balanced,balanced,2,198,0.23701571411984032,0.17676767676767677
1,active_filled_pca,fixed_10_balanced,balanced,3,72,0.35037784040046716,0.2916666666666667
1,active_filled_pca,fixed_10_balanced,balanced,4,136,0.4497087308402433,0.2867647058823529
1,active_filled_pca,fixed_10_balanced,balanced,5,66,0.5514722041875539,0.07575757575757576
1,active_filled_pca,fixed_10_balanced,balanced,6,3,0.6678440641393272,0.0
1,active_filled_pca,fixed_10_balanced,balanced,7,40,0.753259882682054,0.0
1,active_filled_pca,fixed_10_balanced,balanced,8,21,0.8553838185656001,0.23809523809523808
1,active_filled_pca,fixed_10_balanced,balanced,9,227,0.9441632456496019,0.7444933920704846
1,active_filled_pca,fixed_10_standard,standard,0,14356,0.005126989512684353,0.07571747004736695
1,active_filled_pca,fixed_10_standard,standard,1,192,0.148310095410043,0.125
1,active_filled_pca,fixed_10_standard,standard,2,17,0.22598788793714666,0.0
1,active_filled_pca,fixed_10_standard,standard,3,38,0.33573866721068085,0.0
1,active_filled_pca,fixed_10_standard,standard,4,15,0.45163201879634335,0.0
1,active_filled_pca,fixed_10_standard,standard,5,110,0.5777004014172952,1.0
1,active_filled_pca,fixed_10_standard,standard,6,6,0.6046500051652485,1.0
1,active_filled_pca,fixed_10_standard,standard,7,63,0.7720061428205437,0.07936507936507936
1,active_filled_pca,fixed_10_standard,standard,8,53,0.8303758447737732,1.0
1,active_filled_pca,fixed_2_balanced,balanced,0,13104,0.008074910002291198,0.05441086691086691
1,active_filled_pca,fixed_2_balanced,balanced,1,728,0.14902306992290693,0.3008241758241758
1,active_filled_pca,fixed_2_balanced,balanced,2,367,0.24435360929263006,0.2997275204359673
1,active_filled_pca,fixed_2_balanced,balanced,3,118,0.3406195865101361,0.03389830508474576
1,active_filled_pca,fixed_2_balanced,balanced,4,124,0.46756275886018384,0.3387096774193548
1,active_filled_pca,fixed_2_balanced,balanced,5,102,0.550217605746811,0.22549019607843138
1,active_filled_pca,fixed_2_balanced,balanced,6,17,0.6112476942339452,0.0
1,active_filled_pca,fixed_2_balanced,balanced,7,41,0.7631988642623546,0.0
1,active_filled_pca,fixed_2_balanced,balanced,8,21,0.8547318867680005,0.19047619047619047
1,active_filled_pca,fixed_2_balanced,balanced,9,228,0.9423414552427831,0.7456140350877193
1,active_filled_pca,fixed_2_standard,standard,0,14317,0.00593018074666174,0.0730599986030593
1,active_filled_pca,fixed_2_standard,standard,1,243,0.13555031032344825,0.2674897119341564
1,active_filled_pca,fixed_2_standard,standard,2,32,0.276534767517955,0.0
1,active_filled_pca,fixed_2_standard,standard,3,18,0.3335194449633544,0.0
1,active_filled_pca,fixed_2_standard,standard,4,28,0.47110861880268473,0.7142857142857143
1,active_filled_pca,fixed_2_standard,standard,5,96,0.5200100392061514,1.0
1,active_filled_pca,fixed_2_standard,standard,6,7,0.6896498485889139,0.0
1,active_filled_pca,fixed_2_standard,standard,7,94,0.736806866225451,0.4574468085106383
1,active_filled_pca,fixed_2_standard,standard,8,15,0.8158128659825754,1.0
1,active_filled_pca,fixed_5_balanced,balanced,0,13233,0.008312455734379581,0.0538048817350563
1,active_filled_pca,fixed_5_balanced,balanced,1,580,0.1546728753434167,0.3413793103448276
1,active_filled_pca,fixed_5_balanced,balanced,2,362,0.25054924716614907,0.3259668508287293
1,active_filled_pca,fixed_5_balanced,balanced,3,152,0.3369645299019891,0.11842105263157894
1,active_filled_pca,fixed_5_balanced,balanced,4,131,0.4584211235623554,0.20610687022900764
1,active_filled_pca,fixed_5_balanced,balanced,5,99,0.5507793401756521,0.36363636363636365
1,active_filled_pca,fixed_5_balanced,balanced,6,8,0.6629850931870793,0.25
1,active_filled_pca,fixed_5_balanced,balanced,7,38,0.7542812179192947,0.0
1,active_filled_pca,fixed_5_balanced,balanced,8,38,0.8733450083686269,0.6052631578947368
1,active_filled_pca,fixed_5_balanced,balanced,9,209,0.9430201335894589,0.722488038277512
1,active_filled_pca,fixed_5_standard,standard,0,14346,0.005283902342563519,0.0738184859891259
1,active_filled_pca,fixed_5_standard,standard,1,214,0.12875724215568843,0.24299065420560748
1,active_filled_pca,fixed_5_standard,standard,2,36,0.27012191878681624,0.0
1,active_filled_pca,fixed_5_standard,standard,3,15,0.3375376872502756,0.0
1,active_filled_pca,fixed_5_standard,standard,4,34,0.47505634748747444,0.7941176470588235
1,active_filled_pca,fixed_5_standard,standard,5,89,0.5178594009383564,1.0
1,active_filled_pca,fixed_5_standard,standard,6,7,0.6909758672106339,0.0
1,active_filled_pca,fixed_5_standard,standard,7,93,0.7395476798202436,0.45161290322580644
1,active_filled_pca,fixed_5_standard,standard,8,16,0.8188204720353025,1.0
1,active_filled_pca,var_85_balanced,balanced,0,13832,0.006502242228051773,0.06795835743204165
1,active_filled_pca,var_85_balanced,balanced,1,456,0.13658817160246353,0.2324561403508772
1,active_filled_pca,var_85_balanced,balanced,2,85,0.2541486754942935,0.25882352941176473
1,active_filled_pca,var_85_balanced,balanced,3,141,0.33619127659134246,0.3049645390070922
1,active_filled_pca,var_85_balanced,balanced,4,46,0.4275552689129216,0.0
1,active_filled_pca,var_85_balanced,balanced,5,5,0.58260269793873,0.0
1,active_filled_pca,var_85_balanced,balanced,6,38,0.6485517106239274,0.0
1,active_filled_pca,var_85_balanced,balanced,7,15,0.7584404256952477,0.0
1,active_filled_pca,var_85_balanced,balanced,8,116,0.8629448057877032,1.0
1,active_filled_pca,var_85_balanced,balanced,9,116,0.9585665231734247,0.5
1,active_filled_pca,var_85_standard,standard,0,14275,0.005504482920565169,0.07327495621716287
1,active_filled_pca,var_85_standard,standard,1,231,0.1408987814272565,0.2813852813852814
1,active_filled_pca,var_85_standard,standard,2,54,0.22222174897170696,0.0
1,active_filled_pca,var_85_standard,standard,3,37,0.35966555987432897,0.0
1,active_filled_pca,var_85_standard,standard,4,13,0.4438440901495732,0.0
1,active_filled_pca,var_85_standard,standard,5,16,0.5585433648159488,0.5
1,active_filled_pca,var_85_standard,standard,6,108,0.6232516539129934,1.0
1,active_filled_pca,var_85_standard,standard,7,24,0.7884913086736276,0.0
1,active_filled_pca,var_85_standard,standard,8,92,0.8349546636369238,0.6304347826086957
1,active_filled_pca,var_90_balanced,balanced,0,13777,0.005936728599729503,0.06605211584524932
