fold,model,model_type,feature_group,category,slice_type,slice_value,n_obs,brier,log_loss,avg_pred,avg_actual,auc
1,market_probability,market,market,baseline,overall,overall,14850,0.07104304909646372,0.23725722989956416,0.179405893858482,0.08653198653198653,0.9155148076490052
1,market_probability,market,market,baseline,broad_domain,crypto,5721,0.10292720341723476,0.3283716233994681,0.2327158713511624,0.0,
1,market_probability,market,market,baseline,broad_domain,macro,9129,0.05106175356911887,0.18015727971740284,0.14599737362235268,0.1407602147004053,0.9671714185369571
1,market_probability,market,market,baseline,broad_family,crypto_btc,3112,0.10382992794023135,0.31725653311419505,0.21973312982005144,0.0,
1,market_probability,market,market,baseline,broad_family,crypto_eth,1937,0.1300533144037171,0.4098266385948609,0.28801910170366546,0.0,
1,market_probability,market,market,baseline,broad_family,crypto_microstrategy,336,0.006762648809523811,0.08560450434664942,0.08202380952380951,0.0,
1,market_probability,market,market,baseline,broad_family,crypto_policy,336,0.03435200892857143,0.20450718451863822,0.18483630952380953,0.0,
1,market_probability,market,market,baseline,broad_family,macro_fed_rates,9129,0.05106175356911887,0.18015727971740284,0.14599737362235268,0.1407602147004053,0.9671714185369571
1,market_probability,market,market,baseline,Y_i,0,13565,0.054511251683191014,0.1922510710807596,0.14479450967920812,0.0,
1,market_probability,market,market,baseline,Y_i,1,1285,0.2455596498054475,0.7123611554848435,0.5447782101167314,1.0,
1,market_probability,market,market,baseline,active_count_bucket,26-50,1740,0.059652435201149434,0.22211907261347624,0.20237844827586204,0.1,0.975282952393535
1,market_probability,market,market,baseline,active_count_bucket,51-100,13110,0.07255484682169994,0.23926641324645911,0.17635690494267411,0.08474446987032799,0.9081318207660419
1,market_probability,market,market,baseline,prob_bucket,0-5%,5606,0.00034985481314415913,0.015487443233763784,0.015309048126731681,0.0,
1,market_probability,market,market,baseline,prob_bucket,5-10%,2545,0.005059193811394892,0.07266972669960915,0.07000648330058938,0.0,
1,market_probability,market,market,baseline,prob_bucket,10-25%,2758,0.08194249265772299,0.308259821160916,0.16156580855692532,0.0830311820159536,0.6035809932296281
1,market_probability,market,market,baseline,prob_bucket,25-50%,2093,0.13860311753463928,0.46160979308464833,0.35661012900143335,0.022933588150979456,0.44024042379788103
1,market_probability,market,market,baseline,prob_bucket,50-75%,1493,0.2619776456798393,0.7216857852180855,0.6222337575351641,0.5679839249832552,0.45281647652479157
1,market_probability,market,market,baseline,prob_bucket,75-90%,354,0.3731835451977401,1.003791421987526,0.7861723163841806,0.4519774011299435,0.2802029639175258
1,market_probability,market,market,baseline,prob_bucket,90-95%,1,0.819025,2.3538783873815965,0.905,0.0,
1,logit_pca,logit,pca,logistic,overall,overall,14850,0.05972014063106941,0.2003250955401247,0.11550649348402775,0.08653198653198653,0.9126136013229285
1,logit_pca,logit,pca,logistic,broad_domain,crypto,5721,0.07816681218365659,0.23549196746158255,0.14530108143009166,0.0,
1,logit_pca,logit,pca,logistic,broad_domain,macro,9129,0.04815990315135079,0.1782865727815903,0.09683469617441753,0.1407602147004053,0.9649990971810221
1,logit_pca,logit,pca,logistic,broad_family,crypto_btc,3112,0.08554513067446157,0.24886602305508415,0.15090750581368584,0.0,
1,logit_pca,logit,pca,logistic,broad_family,crypto_eth,1937,0.09306062347298114,0.2858161231351036,0.17700701580477138,0.0,
1,logit_pca,logit,pca,logistic,broad_family,crypto_microstrategy,336,0.00032429254285192455,0.016837946392820564,0.016673097727147104,0.0,
1,logit_pca,logit,pca,logistic,broad_family,crypto_policy,336,0.0018109996494412996,0.04016399285597806,0.03922195928333509,0.0,
1,logit_pca,logit,pca,logistic,broad_family,macro_fed_rates,9129,0.04815990315135079,0.1782865727815903,0.09683469617441753,0.1407602147004053,0.9649990971810221
1,logit_pca,logit,pca,logistic,Y_i,0,13565,0.035158629196867575,0.11819664383403833,0.07875148044786177,0.0,
1,logit_pca,logit,pca,logistic,Y_i,1,1285,0.3190017768995113,1.0673075448732465,0.503507856780208,1.0,
1,logit_pca,logit,pca,logistic,active_count_bucket,26-50,1740,0.04133009078135718,0.13242443216500815,0.10319736328770304,0.1,0.9753086419753086
1,logit_pca,logit,pca,logistic,active_count_bucket,51-100,13110,0.06216092527931496,0.20933708289883582,0.11714019955127451,0.08474446987032799,0.9036571754516897
1,logit_pca,logit,pca,logistic,prob_bucket,0-5%,5606,0.00010254657025514424,0.00955342576872855,0.009501711248272425,0.0,
1,logit_pca,logit,pca,logistic,prob_bucket,5-10%,2545,0.0002611252012425233,0.015133058845479705,0.015000582359616672,0.0,
1,logit_pca,logit,pca,logistic,prob_bucket,10-25%,2758,0.07883384139950209,0.31770476477772724,0.03374117982310753,0.0830311820159536,0.5300203232028124
1,logit_pca,logit,pca,logistic,prob_bucket,25-50%,2093,0.04882348645059848,0.21693663334371116,0.16284146769032298,0.022933588150979456,0.6973461695191524
1,logit_pca,logit,pca,logistic,prob_bucket,50-75%,1493,0.28300871208625583,0.775453784413867,0.5955495277515523,0.5679839249832552,0.4406739066842182
1,logit_pca,logit,pca,logistic,prob_bucket,75-90%,354,0.40284570018679106,1.1077641138679553,0.8470718533823015,0.4519774011299435,0.5278511597938145
1,logit_pca,logit,pca,logistic,prob_bucket,90-95%,1,0.8539719295347806,2.5784178650947522,0.9241060163935633,0.0,
1,logit_pca_controls,logit,pca_controls,logistic,overall,overall,14850,0.032263898466562475,0.13719052826717643,0.10680513024989464,0.08653198653198653,0.91421505620008
1,logit_pca_controls,logit,pca_controls,logistic,broad_domain,crypto,5721,0.014702549107722238,0.06889570473023521,0.058238968708566825,0.0,
1,logit_pca_controls,logit,pca_controls,logistic,broad_domain,macro,9129,0.04326931852154385,0.17998981465723454,0.13724077601371723,0.1407602147004053,0.9262382509519282
1,logit_pca_controls,logit,pca_controls,logistic,broad_family,crypto_btc,3112,0.009537812853618665,0.05297303649752317,0.0469042202243302,0.0,
1,logit_pca_controls,logit,pca_controls,logistic,broad_family,crypto_eth,1937,0.027658898149182664,0.1071637240787771,0.08566809255161235,0.0,
1,logit_pca_controls,logit,pca_controls,logistic,broad_family,crypto_microstrategy,336,0.0005954396089036402,0.022895882586172374,0.022591504317350825,0.0,
1,logit_pca_controls,logit,pca_controls,logistic,broad_family,crypto_policy,336,0.001953144110890485,0.04175918777332853,0.04074216047765541,0.0,
1,logit_pca_controls,logit,pca_controls,logistic,broad_family,macro_fed_rates,9129,0.04326931852154385,0.17998981465723454,0.13724077601371723,0.1407602147004053,0.9262382509519282
1,logit_pca_controls,logit,pca_controls,logistic,Y_i,0,13565,0.013025600546585863,0.061473404982149434,0.052056390958681725,0.0,
1,logit_pca_controls,logit,pca_controls,logistic,Y_i,1,1285,0.2353514558863934,0.9364923005328505,0.6847558294602474,1.0,
1,logit_pca_controls,logit,pca_controls,logistic,active_count_bucket,26-50,1740,0.014661433963024922,0.05780865353107307,0.09639932183391,0.1,1.0
1,logit_pca_controls,logit,pca_controls,logistic,active_count_bucket,51-100,13110,0.034600152336597204,0.14772633772871874,0.10818622152707338,0.08474446987032799,0.896997379544605
1,logit_pca_controls,logit,pca_controls,logistic,prob_bucket,0-5%,5606,0.00019968725354659338,0.009196883456025977,0.00909375159146919,0.0,
1,logit_pca_controls,logit,pca_controls,logistic,prob_bucket,5-10%,2545,0.001389900398834012,0.024855483726724005,0.024111769783054328,0.0,
