broad_family,broad_domain,markets,resolved_markets,yes_rate,no_rate,class_entropy,start_min,start_max,close_min,close_max,avg_volume,avg_liquidity,panel_ready_markets,balance_score,liquidity_score,panel_ready_score,relationship_score,forecasting_usefulness_score
crypto_microstrategy,crypto,5,5,0.4,0.6,0.9709505944546686,2024-12-31 18:51:34.648000+00:00,2026-05-05 23:48:20.102000+00:00,2025-09-05 00:29:32+00:00,2026-06-04 00:34:19+00:00,82170353.7822241,,5,0.8,1.0,0.0423728813559322,1.0,0.690593220338983
macro_fed_rates,macro,101,101,0.18811881188118812,0.8118811881188119,0.6975195309289137,2024-03-08 18:55:46.214000+00:00,2026-03-04 20:52:20.245000+00:00,2024-09-18 20:17:10+00:00,2026-06-17 21:20:46+00:00,38689370.470391385,0.0,101,0.37623762376237624,0.7086250586312233,0.8559322033898306,1.0,0.6582537367536563
crypto_btc,crypto,124,124,0.1693548387096774,0.8306451612903226,0.6562267928205409,2024-03-04 16:05:38.561000+00:00,2026-05-01 14:40:04+00:00,2024-10-09 04:50:59+00:00,2026-06-01 11:37:35+00:00,7903999.114293433,,118,0.33870967741935476,0.0942566633600003,1.0,1.0,0.4968253861047742
policy_other,policy_other,16,16,0.625,0.375,0.954434002924965,2024-11-14 23:48:46.082091+00:00,2026-04-03 20:36:36.835691+00:00,2025-01-25 07:02:15+00:00,2026-04-25 00:40:06+00:00,17275288.496826813,,0,0.75,0.3967254220386272,0.0,0.35,0.4165176266115881
crypto_other,crypto,7,7,0.42857142857142855,0.5714285714285714,0.9852281360342515,2024-06-17 23:39:33.169000+00:00,2026-02-23 17:02:41.696617+00:00,2024-06-26 00:25:23+00:00,2026-02-26 16:11:18+00:00,6794262.975530429,,0,0.8571428571428571,0.03573243072005277,0.0,1.0,0.41071972921601585
elections,elections,855,855,0.22573099415204678,0.7742690058479532,0.7704949121134734,2022-01-11 02:13:47.363000+00:00,2026-06-11 22:14:42.211652+00:00,2020-11-09 17:55:41+00:00,2026-06-18 21:14:46+00:00,17949783.645063754,3.6806779661016944,0,0.45146198830409356,0.41154155201077597,0.0,1.0,0.3814741615096655
macro_growth_policy,macro,3,3,0.3333333333333333,0.6666666666666667,0.9182958340544896,2025-01-08 01:33:54.924000+00:00,2025-04-03 00:42:44.044363+00:00,2025-03-13 01:32:29+00:00,2026-01-01 09:23:25+00:00,9213351.670560332,,0,0.6666666666666666,0.15355246856176963,0.0,1.0,0.3793990739018642
other,other,349,349,0.32664756446991405,0.673352435530086,0.9114644753284045,2023-02-24 18:35:45.808000+00:00,2026-05-26 19:50:10.076000+00:00,2021-04-01 17:26:20+00:00,2026-06-08 00:31:25+00:00,15359784.705307275,19.474166666666665,0,0.6532951289398281,0.35126299196962546,0.0,0.35,0.3690321927198274
sports,sports,234,234,0.04700854700854701,0.9529914529914529,0.27355093544990794,2024-07-09 14:51:27.110595+00:00,2025-10-31 23:52:03.136612+00:00,2024-08-11 19:15:46+00:00,2026-06-14 06:38:22+00:00,28661654.64155738,0.0,0,0.09401709401709402,0.592572988789428,0.0,1.0,0.3106778795428113
crypto_eth,crypto,27,27,0.14814814814814814,0.8518518518518519,0.6051865766334206,2024-02-12 22:33:41.667000+00:00,2026-03-01 05:18:21.568413+00:00,2024-11-25 13:07:25+00:00,2026-04-01 07:33:05+00:00,7386623.863358966,,23,0.2962962962962963,0.06806874294409312,0.19491525423728814,1.0,0.27285314014625367
crypto_policy,crypto,2,2,0.0,1.0,0.0,2024-11-06 23:18:43.892000+00:00,2024-12-31 16:55:58.855000+00:00,2025-04-30 06:00:51+00:00,2026-01-01 08:31:59+00:00,14425556.082687,,2,0.0,0.3269886300316907,0.01694915254237288,1.0,0.20233387714510043
crypto_etf,crypto,2,2,1.0,0.0,0.0,2023-12-01 18:55:30.006000+00:00,2024-01-09 21:52:14.513000+00:00,2024-01-10 23:47:24+00:00,2024-05-24 00:14:40+00:00,12924465.375,0.0,2,0.0,0.2844835677171396,0.01694915254237288,1.0,0.18958235845073512
crypto_regulation,crypto,1,1,0.0,1.0,0.0,2024-10-24 21:55:39.163000+00:00,2024-10-24 21:55:39.163000+00:00,2024-12-11 23:24:09+00:00,2024-12-11 23:24:09+00:00,7603059.085456,,1,0.0,0.07924047201921919,0.00847457627118644,1.0,0.12589078567356238
crypto_stablecoin,crypto,1,1,0.0,1.0,0.0,2024-01-17 16:43:29.597000+00:00,2024-01-17 16:43:29.597000+00:00,2025-01-01 08:02:28+00:00,2025-01-01 08:02:28+00:00,6194780.65828928,,0,0.0,0.0,0.0,1.0,0.1
