panel,fold,model,n_components,compression_ratio,train_start,train_end,test_start,test_end,observed_cells,rmse,mae,bias
core,1,train_mean,0,0.0,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,5712,0.12164750904273283,0.0821137303006263,0.0377434706098861
core,1,last_train_state,0,0.0,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,5712,0.09941014894660119,0.05326190476190477,-0.04675840336134454
core,1,fixed_2,2,0.09523809523809523,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,5712,0.0482156196313836,0.030615483145006672,0.0051409414736156575
core,1,var_85,4,0.19047619047619047,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,5712,0.03772838029824375,0.023470017721548997,0.0016874569636705123
core,1,fixed_5,5,0.23809523809523808,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,5712,0.03750512640402442,0.022971617412194945,0.0029598575855455693
core,1,var_90,5,0.23809523809523808,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,5712,0.03750512640402442,0.022971617412194945,0.0029598575855455693
core,1,var_95,7,0.3333333333333333,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,5712,0.029888509368588834,0.017253369446416443,-0.0036559195088022864
core,1,fixed_10,10,0.47619047619047616,2024-12-30 23:00:00+00:00,2025-09-28 09:00:00+00:00,2025-09-28 10:00:00+00:00,2025-10-12 09:00:00+00:00,5712,0.02182167360960052,0.012111003237766057,-0.0003294292820684747
core,2,train_mean,0,0.0,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,5712,0.11490645284448438,0.09044631373541727,0.08800845692469403
core,2,last_train_state,0,0.0,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,5712,0.036142477332317534,0.023021446078431373,0.005969100140056025
core,2,fixed_2,2,0.09523809523809523,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,5712,0.04835702355592085,0.03338020168913612,0.029855626100935156
core,2,var_85,4,0.19047619047619047,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,5712,0.028515507939013637,0.016362530051239825,0.01065085400501785
core,2,fixed_5,5,0.23809523809523808,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,5712,0.026948158652342846,0.015094733660996021,0.009873915703476819
core,2,var_90,5,0.23809523809523808,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,5712,0.026948158652342846,0.015094733660996021,0.009873915703476819
core,2,var_95,7,0.3333333333333333,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,5712,0.02352851064063166,0.012842292733120219,0.0073667870602927635
core,2,fixed_10,10,0.47619047619047616,2024-12-30 23:00:00+00:00,2025-10-12 09:00:00+00:00,2025-10-12 10:00:00+00:00,2025-10-26 09:00:00+00:00,5712,0.015022456303270797,0.007863896206385442,0.0015266773622575635
core,3,train_mean,0,0.0,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,5712,0.15362890051422268,0.1242766156806531,0.12404980777113564
core,3,last_train_state,0,0.0,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,5712,0.06571886844063618,0.03619599089635855,0.027802433473389357
core,3,fixed_2,2,0.09523809523809523,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,5712,0.06359710739285497,0.0399973425819283,0.03433824989220696
core,3,var_85,4,0.19047619047619047,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,5712,0.036060527254858754,0.018824095056126866,0.009847134392993347
core,3,fixed_5,5,0.23809523809523808,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,5712,0.035347695113049346,0.018327773815970446,0.009508090121977706
core,3,var_90,5,0.23809523809523808,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,5712,0.035347695113049346,0.018327773815970446,0.009508090121977706
core,3,var_95,7,0.3333333333333333,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,5712,0.03141315216445503,0.015896627823488222,0.006956879266075987
core,3,fixed_10,10,0.47619047619047616,2024-12-30 23:00:00+00:00,2025-10-26 09:00:00+00:00,2025-10-26 10:00:00+00:00,2025-11-09 09:00:00+00:00,5712,0.018836705629948318,0.010657796744601834,0.0014560526750402882
core,4,train_mean,0,0.0,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,5712,0.20431287541031357,0.15942884740622007,0.15937743284039374
core,4,last_train_state,0,0.0,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,5712,0.040867140423727764,0.020133023791892284,0.009419963567802647
core,4,fixed_2,2,0.09523809523809523,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,5712,0.07395866433076763,0.0449790624673616,0.0352289794606105
core,4,var_85,4,0.19047619047619047,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,5712,0.04448559673278761,0.025830996807583915,0.013792408145324717
core,4,fixed_5,5,0.23809523809523808,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,5712,0.038150954247268734,0.02245860409476647,0.010228216881426284
core,4,var_90,5,0.23809523809523808,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,5712,0.038150954247268734,0.02245860409476647,0.010228216881426284
core,4,var_95,6,0.2857142857142857,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,5712,0.03270822518016768,0.01969523888137099,0.0070385999982763145
core,4,fixed_10,10,0.47619047619047616,2024-12-30 23:00:00+00:00,2025-11-09 09:00:00+00:00,2025-11-09 10:00:00+00:00,2025-11-23 09:00:00+00:00,5712,0.012712427919514534,0.006649061490539545,-0.0007233320495892683
