fold,representation,model,class_weight,prob_decile,n_obs,avg_pred,avg_actual
1,family_pca,family_pca_fixed_2_balanced,balanced,0,8697,0.04330155226657633,0.004139358399448086
1,family_pca,family_pca_fixed_2_balanced,balanced,1,1520,0.14275843378244965,0.10657894736842105
1,family_pca,family_pca_fixed_2_balanced,balanced,2,683,0.23409645954630995,0.03806734992679356
1,family_pca,family_pca_fixed_2_balanced,balanced,3,523,0.3452051780895724,0.0038240917782026767
1,family_pca,family_pca_fixed_2_balanced,balanced,4,395,0.4421195720691959,0.015189873417721518
1,family_pca,family_pca_fixed_2_balanced,balanced,5,276,0.5516732299610535,0.0
1,family_pca,family_pca_fixed_2_balanced,balanced,6,355,0.653576178236566,0.056338028169014086
1,family_pca,family_pca_fixed_2_balanced,balanced,7,385,0.7478646346641717,0.05974025974025974
1,family_pca,family_pca_fixed_2_balanced,balanced,8,459,0.8609920495221055,0.40522875816993464
1,family_pca,family_pca_fixed_2_balanced,balanced,9,1557,0.9633545813867551,0.5292228644829801
1,family_pca,family_pca_fixed_2_standard,standard,0,11531,0.019984672634892807,0.01985950914924985
1,family_pca,family_pca_fixed_2_standard,standard,1,779,0.14321029729796297,0.012836970474967908
1,family_pca,family_pca_fixed_2_standard,standard,2,480,0.24317830689077727,0.075
1,family_pca,family_pca_fixed_2_standard,standard,3,286,0.3506858454220764,0.36713286713286714
1,family_pca,family_pca_fixed_2_standard,standard,4,295,0.44450442461605416,0.31186440677966104
1,family_pca,family_pca_fixed_2_standard,standard,5,344,0.5499462503466344,0.6075581395348837
1,family_pca,family_pca_fixed_2_standard,standard,6,304,0.6423070734176323,0.8092105263157895
1,family_pca,family_pca_fixed_2_standard,standard,7,208,0.7520702035828778,0.6346153846153846
1,family_pca,family_pca_fixed_2_standard,standard,8,542,0.8432376908160261,0.32287822878228783
1,family_pca,family_pca_fixed_2_standard,standard,9,81,0.9140982345975653,0.6296296296296297
1,market_probability,market_probability,none,0,8151,0.032387317359643945,0.0
1,market_probability,market_probability,none,1,2350,0.15110787234042553,0.09489361702127659
1,market_probability,market_probability,none,2,820,0.25102439024390244,0.01097560975609756
1,market_probability,market_probability,none,3,1156,0.3427378892733564,0.03892733564013841
1,market_probability,market_probability,none,4,525,0.4473047619047619,0.0
1,market_probability,market_probability,none,5,731,0.5653214774281806,0.655266757865937
1,market_probability,market_probability,none,6,451,0.6429933481152994,0.5099778270509978
1,market_probability,market_probability,none,7,568,0.7453080985915492,0.5017605633802817
1,market_probability,market_probability,none,8,97,0.8322164948453608,0.14432989690721648
1,market_probability,market_probability,none,9,1,0.905,0.0
1,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_balanced,balanced,0,9028,0.040776335995172316,0.002658396101019052
1,pca_plus_scalar_tda,pca_plus_scalar_tda_168h_balanced,balanced,1,1454,0.14198435087907008,0.12998624484181567
