fold,representation,model,window_hours,placebo_type,prob_decile,n_obs,avg_pred,avg_actual
1,market_probability,market_probability,0,none,0,8151,0.032387317359643945,0.0
1,market_probability,market_probability,0,none,1,2350,0.15110787234042553,0.09489361702127659
1,market_probability,market_probability,0,none,2,820,0.25102439024390244,0.01097560975609756
1,market_probability,market_probability,0,none,3,1156,0.3427378892733564,0.03892733564013841
1,market_probability,market_probability,0,none,4,525,0.4473047619047619,0.0
1,market_probability,market_probability,0,none,5,731,0.5653214774281806,0.655266757865937
1,market_probability,market_probability,0,none,6,451,0.6429933481152994,0.5099778270509978
1,market_probability,market_probability,0,none,7,568,0.7453080985915492,0.5017605633802817
1,market_probability,market_probability,0,none,8,97,0.8322164948453608,0.14432989690721648
1,market_probability,market_probability,0,none,9,1,0.905,0.0
1,pca_only,pca_only_fixed_5_C0.01,0,none,0,11576,0.020416404094564276,0.01978230822391154
1,pca_only,pca_only_fixed_5_C0.01,0,none,1,783,0.1427571622895085,0.0280970625798212
1,pca_only,pca_only_fixed_5_C0.01,0,none,2,502,0.24158924967520967,0.04780876494023904
1,pca_only,pca_only_fixed_5_C0.01,0,none,3,196,0.35820388342731957,0.08673469387755102
1,pca_only,pca_only_fixed_5_C0.01,0,none,4,436,0.4466312118764921,0.5756880733944955
1,pca_only,pca_only_fixed_5_C0.01,0,none,5,311,0.5559111599805833,0.819935691318328
1,pca_only,pca_only_fixed_5_C0.01,0,none,6,262,0.6534639199233453,0.6717557251908397
1,pca_only,pca_only_fixed_5_C0.01,0,none,7,326,0.765352557574858,0.34662576687116564
1,pca_only,pca_only_fixed_5_C0.01,0,none,8,430,0.8412850679308954,0.4069767441860465
1,pca_only,pca_only_fixed_5_C0.01,0,none,9,28,0.913638312357999,0.8214285714285714
1,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,0,12067,0.014373783942523368,0.019225988232369273
1,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,1,735,0.13680263107141685,0.058503401360544216
1,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,2,471,0.2516668857355226,0.2929936305732484
1,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,3,325,0.347813313857514,0.6369230769230769
1,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,4,241,0.459455095149798,0.7634854771784232
1,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,5,205,0.5550573473201782,0.5707317073170731
1,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,6,399,0.6526821234088154,0.48872180451127817
1,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,7,313,0.7448625041496159,0.3226837060702875
1,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,8,88,0.854570510991199,0.7159090909090909
1,pca_residual_image_ph,pca_residual_image_ph_168h,168,real,9,6,0.9150276477342608,0.8333333333333334
1,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,0,11659,0.019379010408165927,0.019898790633845097
1,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,1,773,0.1429941413112385,0.02199223803363519
1,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,2,456,0.23771726646111124,0.05701754385964912
1,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,3,232,0.3593422922899285,0.24568965517241378
1,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,4,449,0.44522699695508317,0.5879732739420935
1,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,5,266,0.5506007134148316,0.8609022556390977
1,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,6,252,0.6550683764367216,0.6309523809523809
1,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,7,404,0.7642241169273408,0.3415841584158416
1,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,8,339,0.8408117790640398,0.4277286135693215
1,pca_residual_image_ph,pca_residual_image_ph_24h,24,real,9,20,0.9172265348354417,0.9
1,pca_residual_image_ph,pca_residual_image_ph_72h,72,real,0,11733,0.01835613046692001,0.01977328901389244
1,pca_residual_image_ph,pca_residual_image_ph_72h,72,real,1,805,0.14505157363524399,0.05217391304347826
1,pca_residual_image_ph,pca_residual_image_ph_72h,72,real,2,363,0.2349208737322355,0.0027548209366391185
1,pca_residual_image_ph,pca_residual_image_ph_72h,72,real,3,301,0.3552420943982637,0.3089700996677741
1,pca_residual_image_ph,pca_residual_image_ph_72h,72,real,4,395,0.4438401786986583,0.6354430379746835
1,pca_residual_image_ph,pca_residual_image_ph_72h,72,real,5,260,0.5402708248395302,0.8384615384615385
1,pca_residual_image_ph,pca_residual_image_ph_72h,72,real,6,271,0.6506072623872017,0.6383763837638377
1,pca_residual_image_ph,pca_residual_image_ph_72h,72,real,7,406,0.761523231306545,0.2832512315270936
