fold,representation,model,window_hours,placebo_type,eval_group_type,eval_group,status,n_obs,brier,log_loss,avg_pred,avg_actual,ece
1,market_probability,market_probability,0,none,overall,overall,ok,14850,0.07104304909646372,0.23725722989956416,0.179405893858482,0.08653198653198653,0.10172912618171431
1,market_probability,market_probability,0,none,broad_family,crypto_btc,ok,3112,0.10382992794023135,0.31725653311419505,0.21973312982005144,0.0,0.2197331298200514
1,market_probability,market_probability,0,none,broad_family,crypto_eth,ok,1937,0.1300533144037171,0.4098266385948609,0.28801910170366546,0.0,0.28801910170366546
1,market_probability,market_probability,0,none,broad_family,crypto_microstrategy,ok,336,0.006762648809523811,0.08560450434664942,0.08202380952380951,0.0,0.08202380952380951
1,market_probability,market_probability,0,none,broad_family,crypto_policy,ok,336,0.03435200892857143,0.20450718451863822,0.18483630952380953,0.0,0.18483630952380953
1,market_probability,market_probability,0,none,broad_family,macro_fed_rates,ok,9129,0.05106175356911887,0.18015727971740284,0.14599737362235268,0.1407602147004053,0.10073337975664999
1,market_probability,market_probability,0,none,active_market_count_bucket,26-50,ok,1740,0.059652435201149434,0.22211907261347624,0.20237844827586204,0.1,0.1697864942528736
1,market_probability,market_probability,0,none,active_market_count_bucket,51-100,ok,13110,0.07255484682169994,0.23926641324645911,0.17635690494267411,0.08474446987032799,0.09507544041178169
1,pca_only,pca_only_fixed_5_C0.01,0,none,overall,overall,ok,14850,0.05972014063106941,0.2003250955401247,0.11550649348402775,0.08653198653198653,0.04825704888442798
1,pca_only,pca_only_fixed_5_C0.01,0,none,broad_family,crypto_btc,ok,3112,0.08554513067446157,0.24886602305508415,0.15090750581368584,0.0,0.15090750581368584
1,pca_only,pca_only_fixed_5_C0.01,0,none,broad_family,crypto_eth,ok,1937,0.09306062347298114,0.2858161231351036,0.17700701580477138,0.0,0.17700701580477138
1,pca_only,pca_only_fixed_5_C0.01,0,none,broad_family,crypto_microstrategy,ok,336,0.00032429254285192455,0.016837946392820564,0.016673097727147104,0.0,0.016673097727147104
1,pca_only,pca_only_fixed_5_C0.01,0,none,broad_family,crypto_policy,ok,336,0.0018109996494412996,0.04016399285597806,0.03922195928333509,0.0,0.03922195928333509
