panel,fold,model,prob_decile,n_obs,avg_pred,avg_actual
core,1,market_probability,0,3103,0.040135997421849826,0.0
core,1,market_probability,1,829,0.137708082026538,0.0
core,1,market_probability,2,408,0.24571078431372548,0.0
core,1,market_probability,3,440,0.35065909090909086,0.0
core,1,market_probability,4,244,0.4575327868852459,0.0
core,1,market_probability,5,237,0.5469261603375527,0.0
core,1,market_probability,6,111,0.6651846846846846,0.0
core,1,market_probability,7,250,0.7519239999999999,0.0
core,1,market_probability,8,90,0.8424666666666667,0.0
core,2,market_probability,0,3486,0.04147030981067126,0.0
core,2,market_probability,1,862,0.14228538283062644,0.0
core,2,market_probability,2,619,0.24953957996768983,0.0
core,2,market_probability,3,138,0.35535869565217393,0.0
core,2,market_probability,4,413,0.44545520581113796,0.0
core,2,market_probability,5,148,0.5477972972972973,0.0
core,2,market_probability,6,46,0.6299456521739131,0.0
core,3,market_probability,0,4198,0.03292818008575512,0.0
core,3,market_probability,1,685,0.14454525547445257,0.0
core,3,market_probability,2,417,0.23794604316546764,0.0
core,3,market_probability,3,169,0.34653254437869824,0.0
core,3,market_probability,4,169,0.44786982248520707,0.0
core,3,market_probability,5,74,0.5330405405405405,0.0
core,4,market_probability,0,5086,0.028257799469270796,0.0
core,4,market_probability,1,463,0.13487580993520518,0.0
core,4,market_probability,2,152,0.23973355263157897,0.0
core,4,market_probability,3,11,0.33045454545454545,0.0
core,5,market_probability,0,5469,0.014715524244705902,0.0
core,5,market_probability,1,209,0.13992822966507176,0.0
core,5,market_probability,2,34,0.22955882352941176,0.0
core,6,market_probability,0,5711,0.007461439842940349,0.0
core,6,market_probability,1,1,0.105,0.0
core,7,market_probability,0,4471,0.0019188946768119244,0.0
core_plus_satellites,1,fixed_10,0,8658,0.0588152738413243,0.038808038808038806
core_plus_satellites,1,fixed_10,1,78,0.10697467951261007,0.0
core_plus_satellites,1,fixed_2,0,8718,0.047132371309695525,0.038540949759119064
core_plus_satellites,1,fixed_2,1,18,0.10523153563665238,0.0
core_plus_satellites,1,fixed_5,0,8584,0.059813451190797694,0.03902609506057782
core_plus_satellites,1,fixed_5,1,152,0.10929682932774251,0.006578947368421052
core_plus_satellites,1,market_probability,0,5455,0.029386809626896417,0.0
core_plus_satellites,1,market_probability,1,1500,0.14764,0.22333333333333333
core_plus_satellites,1,market_probability,2,409,0.24561124694376527,0.0024449877750611247
core_plus_satellites,1,market_probability,3,440,0.35065909090909086,0.0
core_plus_satellites,1,market_probability,4,244,0.4575327868852459,0.0
core_plus_satellites,1,market_probability,5,237,0.5469261603375527,0.0
core_plus_satellites,1,market_probability,6,111,0.6651846846846846,0.0
core_plus_satellites,1,market_probability,7,250,0.7519239999999999,0.0
core_plus_satellites,1,market_probability,8,90,0.8424666666666667,0.0
core_plus_satellites,1,var_85,0,8669,0.05545014311299774,0.03875879570884762
core_plus_satellites,1,var_85,1,67,0.10651364807531313,0.0
core_plus_satellites,1,var_90,0,8689,0.054513458810573935,0.03866958223040626
core_plus_satellites,1,var_90,1,47,0.10592120470449203,0.0
core_plus_satellites,1,var_95,0,8658,0.0588152738413243,0.038808038808038806
core_plus_satellites,1,var_95,1,78,0.10697467951261007,0.0
core_plus_satellites,2,fixed_10,0,8736,0.0353039756967285,0.038461538461538464
core_plus_satellites,2,fixed_2,0,8736,0.031306638443269086,0.038461538461538464
core_plus_satellites,2,fixed_5,0,8736,0.03252493466042223,0.038461538461538464
core_plus_satellites,2,market_probability,0,5950,0.031564752326559795,0.0
core_plus_satellites,2,market_probability,1,1422,0.14394044743659623,0.23628691983122363
core_plus_satellites,2,market_probability,2,619,0.24953957996768983,0.0
core_plus_satellites,2,market_probability,3,138,0.35535869565217393,0.0
core_plus_satellites,2,market_probability,4,413,0.44545520581113796,0.0
core_plus_satellites,2,market_probability,5,148,0.5477972972972973,0.0
core_plus_satellites,2,market_probability,6,46,0.6299456521739131,0.0
