fold,representation,model,class_weight,prob_decile,n_obs,avg_pred,avg_actual
1,persistence_image,pi_168h_10x10_balanced,balanced,3,5735,0.3822067602037951,0.0
1,persistence_image,pi_168h_10x10_balanced,balanced,4,5443,0.43228571550471473,0.042990997611611244
1,persistence_image,pi_168h_10x10_balanced,balanced,5,1903,0.5397262033258136,0.06463478717813978
1,persistence_image,pi_168h_10x10_balanced,balanced,6,1408,0.6467538788576858,0.5809659090909091
1,persistence_image,pi_168h_10x10_balanced,balanced,7,361,0.7165658228481245,0.3047091412742382
1,persistence_image,pi_168h_10x10_standard,standard,0,6920,0.0956152243418729,0.0
1,persistence_image,pi_168h_10x10_standard,standard,1,7930,0.12440321082829128,0.16204287515762925
1,persistence_image,pi_24h_10x10_balanced,balanced,3,3517,0.3888884572470794,0.0
1,persistence_image,pi_24h_10x10_balanced,balanced,4,7371,0.4307630102594423,0.030525030525030524
1,persistence_image,pi_24h_10x10_balanced,balanced,5,2010,0.5447960289487855,0.025870646766169153
1,persistence_image,pi_24h_10x10_balanced,balanced,6,1375,0.6511560086129383,0.5636363636363636
1,persistence_image,pi_24h_10x10_balanced,balanced,7,577,0.7209656001363419,0.4038128249566724
1,persistence_image,pi_24h_10x10_standard,standard,0,2557,0.09777183635424044,0.0
1,persistence_image,pi_24h_10x10_standard,standard,1,12258,0.12089500648083396,0.10482949910262686
1,persistence_image,pi_24h_10x10_standard,standard,2,35,0.20308551547421283,0.0
1,persistence_image,pi_72h_10x10_balanced,balanced,3,4494,0.38065316211473693,0.0
1,persistence_image,pi_72h_10x10_balanced,balanced,4,6480,0.43777884526603267,0.03734567901234568
1,persistence_image,pi_72h_10x10_balanced,balanced,5,1922,0.5448487529094431,0.047866805411030174
1,persistence_image,pi_72h_10x10_balanced,balanced,6,1421,0.6487033629560016,0.5151301900070373
1,persistence_image,pi_72h_10x10_balanced,balanced,7,533,0.7248882011610741,0.41088180112570355
1,persistence_image,pi_72h_10x10_standard,standard,0,4200,0.09505854775022886,0.0
1,persistence_image,pi_72h_10x10_standard,standard,1,10557,0.12354122613720495,0.11897319314199109
1,persistence_image,pi_72h_10x10_standard,standard,2,93,0.21523746168438468,0.3118279569892473
2,persistence_image,pi_168h_10x10_balanced,balanced,3,10030,0.3700587155095006,0.005084745762711864
2,persistence_image,pi_168h_10x10_balanced,balanced,4,4446,0.4348529540114562,0.0641025641025641
2,persistence_image,pi_168h_10x10_balanced,balanced,5,1921,0.5441708873350898,0.122852680895367
2,persistence_image,pi_168h_10x10_balanced,balanced,6,1153,0.6411140840651371,0.5004336513443192
2,persistence_image,pi_168h_10x10_balanced,balanced,7,384,0.7252130556533998,0.5078125
2,persistence_image,pi_168h_10x10_standard,standard,0,11360,0.09203109556205416,0.007922535211267605
2,persistence_image,pi_168h_10x10_standard,standard,1,6572,0.12544368731195973,0.19080949482653684
2,persistence_image,pi_168h_10x10_standard,standard,2,2,0.20466135657097362,0.0
2,persistence_image,pi_24h_10x10_balanced,balanced,3,6020,0.3867269938571313,0.0
2,persistence_image,pi_24h_10x10_balanced,balanced,4,7805,0.4314788455831532,0.04304932735426009
2,persistence_image,pi_24h_10x10_balanced,balanced,5,2053,0.5475969212661326,0.011203117389186557
2,persistence_image,pi_24h_10x10_balanced,balanced,6,1444,0.647085704938879,0.48753462603878117
2,persistence_image,pi_24h_10x10_balanced,balanced,7,612,0.733830469088144,0.4591503267973856
2,persistence_image,pi_24h_10x10_standard,standard,0,6389,0.09711383771334717,0.0
2,persistence_image,pi_24h_10x10_standard,standard,1,11417,0.12135491879435162,0.11614259437680652
2,persistence_image,pi_24h_10x10_standard,standard,2,128,0.20563449391522884,0.140625
2,persistence_image,pi_72h_10x10_balanced,balanced,3,7168,0.3791985309517486,0.0
2,persistence_image,pi_72h_10x10_balanced,balanced,4,6855,0.43252780601355006,0.04901531728665208
2,persistence_image,pi_72h_10x10_balanced,balanced,5,2043,0.5441797923553148,0.02594224180127264
2,persistence_image,pi_72h_10x10_balanced,balanced,6,1449,0.648222434063388,0.5383022774327122
2,persistence_image,pi_72h_10x10_balanced,balanced,7,419,0.7346502766697817,0.41766109785202865
2,persistence_image,pi_72h_10x10_standard,standard,0,8125,0.09492783950315078,0.0
2,persistence_image,pi_72h_10x10_standard,standard,1,9743,0.12189877426992458,0.137432002463307
2,persistence_image,pi_72h_10x10_standard,standard,2,66,0.20440481081302792,0.07575757575757576
3,persistence_image,pi_168h_10x10_balanced,balanced,3,6715,0.38284473177313855,0.0
3,persistence_image,pi_168h_10x10_balanced,balanced,4,7605,0.43277970105874886,0.04128862590401052
3,persistence_image,pi_168h_10x10_balanced,balanced,5,2055,0.5455384638559656,0.025304136253041364
3,persistence_image,pi_168h_10x10_balanced,balanced,6,1197,0.6548696964294612,0.5037593984962406
3,persistence_image,pi_168h_10x10_balanced,balanced,7,632,0.747081623864189,0.5933544303797469
3,persistence_image,pi_168h_10x10_standard,standard,0,10220,0.09351663532323086,0.0
3,persistence_image,pi_168h_10x10_standard,standard,1,7846,0.1231469014755358,0.1537088962528677
3,persistence_image,pi_168h_10x10_standard,standard,2,138,0.20456139337723586,1.0
3,persistence_image,pi_24h_10x10_balanced,balanced,3,6500,0.37479007970780165,0.0003076923076923077
3,persistence_image,pi_24h_10x10_balanced,balanced,4,7846,0.4283846435283484,0.037343869487637016
3,persistence_image,pi_24h_10x10_balanced,balanced,5,1973,0.5472477671364985,0.02483527622909275
3,persistence_image,pi_24h_10x10_balanced,balanced,6,1206,0.6505003891488295,0.5306799336650083
3,persistence_image,pi_24h_10x10_balanced,balanced,7,676,0.7456155225122918,0.5281065088757396
3,persistence_image,pi_24h_10x10_balanced,balanced,8,3,0.8015102691286452,1.0
3,persistence_image,pi_24h_10x10_standard,standard,0,9439,0.09429572366367606,0.003178302786312109
3,persistence_image,pi_24h_10x10_standard,standard,1,8536,0.12265207139768262,0.1271087160262418
3,persistence_image,pi_24h_10x10_standard,standard,2,229,0.20834788170491525,1.0
3,persistence_image,pi_72h_10x10_balanced,balanced,3,6039,0.3729599417462512,0.001324722636198046
3,persistence_image,pi_72h_10x10_balanced,balanced,4,8231,0.435364628588709,0.029765520592880575
3,persistence_image,pi_72h_10x10_balanced,balanced,5,1980,0.5475942459348336,0.05404040404040404
3,persistence_image,pi_72h_10x10_balanced,balanced,6,1210,0.6500223754954964,0.4479338842975207
3,persistence_image,pi_72h_10x10_balanced,balanced,7,711,0.7439481537326543,0.5752461322081576
3,persistence_image,pi_72h_10x10_balanced,balanced,8,33,0.8052879266150689,1.0
3,persistence_image,pi_72h_10x10_standard,standard,0,8694,0.09327416349004697,0.001955371520588912
3,persistence_image,pi_72h_10x10_standard,standard,1,9292,0.12136906771465994,0.11967283684890229
3,persistence_image,pi_72h_10x10_standard,standard,2,218,0.20862263432010797,0.9862385321100917
4,persistence_image,pi_168h_10x10_balanced,balanced,2,535,0.29228399126456794,0.0
4,persistence_image,pi_168h_10x10_balanced,balanced,3,12460,0.34931157110870836,0.004253611556982343
4,persistence_image,pi_168h_10x10_balanced,balanced,4,3036,0.4427400625957952,0.09321475625823451
4,persistence_image,pi_168h_10x10_balanced,balanced,5,984,0.5336270583666785,0.15853658536585366
4,persistence_image,pi_168h_10x10_balanced,balanced,6,1024,0.6516696416038174,0.4599609375
4,persistence_image,pi_168h_10x10_balanced,balanced,7,453,0.7403100069524113,0.847682119205298
4,persistence_image,pi_168h_10x10_standard,standard,0,14991,0.08208022006739603,0.015876192382095925
4,persistence_image,pi_168h_10x10_standard,standard,1,3497,0.12911657975380905,0.3159851301115242
4,persistence_image,pi_168h_10x10_standard,standard,2,4,0.20142603498420775,1.0
4,persistence_image,pi_24h_10x10_balanced,balanced,2,244,0.2941619964991616,0.0
4,persistence_image,pi_24h_10x10_balanced,balanced,3,10551,0.3615110351980382,0.0018007771775187186
4,persistence_image,pi_24h_10x10_balanced,balanced,4,4793,0.43617483341841745,0.06530356770290006
4,persistence_image,pi_24h_10x10_balanced,balanced,5,1369,0.5447501817025985,0.061358655953250546
4,persistence_image,pi_24h_10x10_balanced,balanced,6,807,0.6552297872722881,0.48451053283767037
4,persistence_image,pi_24h_10x10_balanced,balanced,7,701,0.7428385911106634,0.7318116975748931
4,persistence_image,pi_24h_10x10_balanced,balanced,8,27,0.8101360709364857,1.0
4,persistence_image,pi_24h_10x10_standard,standard,0,13084,0.08903730304571988,0.007184347294405381
4,persistence_image,pi_24h_10x10_standard,standard,1,5259,0.1275033250558852,0.20992584141471762
4,persistence_image,pi_24h_10x10_standard,standard,2,149,0.2094838482109413,1.0
4,persistence_image,pi_72h_10x10_balanced,balanced,2,611,0.2935526283531251,0.0
4,persistence_image,pi_72h_10x10_balanced,balanced,3,11567,0.35116278224158787,0.006311057318232904
4,persistence_image,pi_72h_10x10_balanced,balanced,4,3704,0.4391545939885738,0.06938444924406048
4,persistence_image,pi_72h_10x10_balanced,balanced,5,1138,0.5395222270238782,0.11159929701230228
4,persistence_image,pi_72h_10x10_balanced,balanced,6,872,0.6476093127962543,0.4598623853211009
4,persistence_image,pi_72h_10x10_balanced,balanced,7,594,0.7372701289656002,0.8131313131313131
4,persistence_image,pi_72h_10x10_balanced,balanced,8,6,0.8024945333247805,1.0
4,persistence_image,pi_72h_10x10_standard,standard,0,14301,0.08448572365586193,0.013565484931123698
4,persistence_image,pi_72h_10x10_standard,standard,1,4136,0.12813647067138825,0.26547388781431336
4,persistence_image,pi_72h_10x10_standard,standard,2,55,0.20462455179830027,1.0
5,persistence_image,pi_168h_10x10_balanced,balanced,3,2253,0.3928721548428682,0.0
5,persistence_image,pi_168h_10x10_balanced,balanced,4,11999,0.4468668500558618,0.007667305608800733
5,persistence_image,pi_168h_10x10_balanced,balanced,5,3039,0.543180757570769,0.08028956893715038
5,persistence_image,pi_168h_10x10_balanced,balanced,6,1137,0.6541689849925216,0.10378188214599825
