fold,representation,model,n_components,class_weight,train_start,train_end,test_start,test_end,status,eval_group_type,eval_group,n_obs,brier,log_loss,avg_pred,avg_actual,window_hours
1,persistence_image,pi_24h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,overall,overall,14850,0.0734329493676234,0.27056163594477173,0.11710717629908772,0.08653198653198653,24
1,persistence_image,pi_24h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_btc,3112,0.015495082366786341,0.1300310611333393,0.12150364270621801,0.0,24
1,persistence_image,pi_24h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_eth,1937,0.017150364904072478,0.13788137732489802,0.12840906125643436,0.0,24
1,persistence_image,pi_24h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.011205708232340385,0.11185586265549052,0.10582283034414369,0.0,24
1,persistence_image,pi_24h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_policy,336,0.013394234398446416,0.122953711353468,0.11568968803909845,0.0,24
1,persistence_image,pi_24h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,macro_fed_rates,9129,0.10962567249870038,0.35789367803566335,0.11367791369363782,0.1407602147004053,24
1,persistence_image,pi_24h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,26-50,1740,0.081271754203424,0.28743516785482026,0.11762499237670206,0.1,24
1,persistence_image,pi_24h_10x10_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,51-100,13110,0.07239255879445079,0.2683221282770765,0.11703845013775677,0.08474446987032799,24
1,persistence_image,pi_24h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,overall,overall,14850,0.20594162508559258,0.6046225410094176,0.46796306626726236,0.08653198653198653,24
1,persistence_image,pi_24h_10x10_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_btc,3112,0.24636084642299,0.6893218665436662,0.485282857325922,0.0,24
