fold,representation,model,class_weight,prob_decile,n_obs,avg_pred,avg_actual
1,persistence_landscape,pl_168h_L3_S50_balanced,balanced,3,3492,0.3904276263462851,0.0
1,persistence_landscape,pl_168h_L3_S50_balanced,balanced,4,7467,0.4309663280435152,0.03026650595955538
1,persistence_landscape,pl_168h_L3_S50_balanced,balanced,5,1936,0.5437181831997269,0.02634297520661157
1,persistence_landscape,pl_168h_L3_S50_balanced,balanced,6,1456,0.6484165402664105,0.5309065934065934
1,persistence_landscape,pl_168h_L3_S50_balanced,balanced,7,499,0.7179721711653831,0.4709418837675351
1,persistence_landscape,pl_168h_L3_S50_standard,standard,0,5431,0.09750721819591754,0.0
1,persistence_landscape,pl_168h_L3_S50_standard,standard,1,9419,0.12339854387769089,0.13642637222635098
1,persistence_landscape,pl_24h_L3_S50_balanced,balanced,3,2739,0.395410486198411,0.0
1,persistence_landscape,pl_24h_L3_S50_balanced,balanced,4,8085,0.4305968850876233,0.02795299938157081
1,persistence_landscape,pl_24h_L3_S50_balanced,balanced,5,2015,0.5470391411051132,0.025310173697270472
1,persistence_landscape,pl_24h_L3_S50_balanced,balanced,6,1355,0.651628652665104,0.5284132841328413
1,persistence_landscape,pl_24h_L3_S50_balanced,balanced,7,656,0.7211693914004297,0.4451219512195122
1,persistence_landscape,pl_24h_L3_S50_standard,standard,0,685,0.09884028813755291,0.0
1,persistence_landscape,pl_24h_L3_S50_standard,standard,1,14121,0.11904299126992204,0.09099922101834147
1,persistence_landscape,pl_24h_L3_S50_standard,standard,2,44,0.20350009241293862,0.0
1,persistence_landscape,pl_72h_L3_S50_balanced,balanced,3,3175,0.3939838509221339,0.0
1,persistence_landscape,pl_72h_L3_S50_balanced,balanced,4,7640,0.4327909782924655,0.029581151832460732
1,persistence_landscape,pl_72h_L3_S50_balanced,balanced,5,2012,0.5466826335870363,0.025347912524850896
1,persistence_landscape,pl_72h_L3_S50_balanced,balanced,6,1402,0.6517643611400898,0.5228245363766049
1,persistence_landscape,pl_72h_L3_S50_balanced,balanced,7,621,0.7214940539917006,0.4428341384863124
1,persistence_landscape,pl_72h_L3_S50_standard,standard,0,2861,0.09873005723255211,0.0
1,persistence_landscape,pl_72h_L3_S50_standard,standard,1,11950,0.12154028756983738,0.10753138075313808
1,persistence_landscape,pl_72h_L3_S50_standard,standard,2,39,0.20238844352859864,0.0
2,persistence_landscape,pl_168h_L3_S50_balanced,balanced,3,5069,0.37909591955220096,0.0
2,persistence_landscape,pl_168h_L3_S50_balanced,balanced,4,8795,0.4359388574732603,0.038203524729960206
2,persistence_landscape,pl_168h_L3_S50_balanced,balanced,5,2048,0.5473671972955156,0.0166015625
2,persistence_landscape,pl_168h_L3_S50_balanced,balanced,6,1577,0.6522385229112078,0.4838300570703868
2,persistence_landscape,pl_168h_L3_S50_balanced,balanced,7,443,0.7462137009678608,0.4762979683972912
2,persistence_landscape,pl_168h_L3_S50_balanced,balanced,8,2,0.8105570547670802,0.0
2,persistence_landscape,pl_168h_L3_S50_standard,standard,0,5394,0.09567014632880759,0.0
2,persistence_landscape,pl_168h_L3_S50_standard,standard,1,12376,0.12002787938392434,0.10479961215255333
2,persistence_landscape,pl_168h_L3_S50_standard,standard,2,164,0.20637396917533848,0.2865853658536585
2,persistence_landscape,pl_24h_L3_S50_balanced,balanced,3,6177,0.39277164085475125,0.0
2,persistence_landscape,pl_24h_L3_S50_balanced,balanced,4,7589,0.43246986148654926,0.0442746079852418
2,persistence_landscape,pl_24h_L3_S50_balanced,balanced,5,2086,0.5490931076879874,0.0028763183125599234
2,persistence_landscape,pl_24h_L3_S50_balanced,balanced,6,1414,0.647223254835586,0.48797736916548795
2,persistence_landscape,pl_24h_L3_S50_balanced,balanced,7,666,0.7329310320083499,0.46846846846846846
2,persistence_landscape,pl_24h_L3_S50_balanced,balanced,8,2,0.806299892753112,0.0
2,persistence_landscape,pl_24h_L3_S50_standard,standard,0,6610,0.09835537066453619,0.0
2,persistence_landscape,pl_24h_L3_S50_standard,standard,1,11212,0.1223415000006671,0.11987156617909382
2,persistence_landscape,pl_24h_L3_S50_standard,standard,2,112,0.2089707845699649,0.0
2,persistence_landscape,pl_72h_L3_S50_balanced,balanced,3,6152,0.38838715308008576,0.0
2,persistence_landscape,pl_72h_L3_S50_balanced,balanced,4,7572,0.4338149489780143,0.04410987849973587
