split,fold,representation,model,prob_decile,n_obs,avg_pred,avg_actual
design_cv,1,market_probability,market_probability,0,5429,0.0312897675638733,0.0
design_cv,1,market_probability,market_probability,1,2553,0.142168429260459,0.0
design_cv,1,market_probability,market_probability,2,950,0.2594469071775094,0.1231578947368421
design_cv,1,market_probability,market_probability,3,555,0.3569524080942969,0.3765765765765765
design_cv,1,market_probability,market_probability,4,574,0.4369250871080139,0.0104529616724738
design_cv,1,market_probability,market_probability,5,257,0.5828793774319065,0.0155642023346303
design_cv,1,market_probability,market_probability,6,420,0.6574642857142857,0.0
design_cv,1,market_probability,market_probability,7,257,0.7832101167315175,0.953307392996109
design_cv,1,market_probability,market_probability,8,91,0.823956043956044,1.0
design_cv,1,market_probability,market_probability,9,336,0.945983630952381,1.0
design_cv,1,pca_only,pca_only_var_85_C0.01,0,9480,0.0141814683064575,0.0343881856540084
design_cv,1,pca_only,pca_only_var_85_C0.01,1,583,0.1333501433279305,0.0051457975986277
design_cv,1,pca_only,pca_only_var_85_C0.01,2,26,0.2582034036264116,0.1923076923076923
design_cv,1,pca_only,pca_only_var_85_C0.01,3,300,0.3593876237808429,0.0066666666666666
design_cv,1,pca_only,pca_only_var_85_C0.01,4,93,0.4551611048349578,0.0
design_cv,1,pca_only,pca_only_var_85_C0.01,5,265,0.5348681133829183,0.0
design_cv,1,pca_only,pca_only_var_85_C0.01,6,19,0.6688624840826939,0.8421052631578947
design_cv,1,pca_only,pca_only_var_85_C0.01,7,290,0.7517421561232155,1.0
design_cv,1,pca_only,pca_only_var_85_C0.01,8,84,0.8662370755245627,1.0
design_cv,1,pca_only,pca_only_var_85_C0.01,9,282,0.9181532865664568,1.0
design_cv,1,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,0,9592,0.0136975062690426,0.0339866555462885
design_cv,1,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,1,473,0.1271987284569197,0.0063424947145877
design_cv,1,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,2,37,0.2581815478397468,0.1621621621621621
design_cv,1,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,3,313,0.339845501405796,0.0031948881789137
design_cv,1,pca_plus_tda,pca_plus_tda_fixed_2_168h_h0_h1_C0.01,4,184,0.4684989210581609,0.0
