fold,split,representation,model,pca_setting,tda_window,tda_group,c_value,n_components,train_start,train_end,test_start,test_end,status,eval_group_type,eval_group,n_obs,brier,log_loss,avg_pred,avg_actual,ece
1,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,overall,overall,11422,0.0627642015499308,0.2159546332472589,0.1968356501766055,0.0882507441779023,0.1241296290783154
1,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_btc,4030,0.0721512887971893,0.2461368627773661,0.188261115671973,0.0,0.188261115671973
1,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_eth,1680,0.023814853422619,0.1539436410664393,0.1401782738095238,0.0,0.1401782738095238
1,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.0145823660714285,0.1286083416608055,0.1206696428571428,0.0,0.1206696428571428
1,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.1992098958333333,0.5909656574609072,0.445639880952381,0.0,0.4456398809523809
1,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,macro_fed_rates,5040,0.0623571155755231,0.1933135085835104,0.2110684524125272,0.2,0.1316734127299875
1,design_cv,market_probability,market_probability,none,0,none,1.0,0,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,active_market_count_bucket,26-50,11422,0.0627642015499308,0.2159546332472589,0.1968356501766055,0.0882507441779023,0.1241296290783154
1,design_cv,pca_only,pca_only_var_85_C0.01,var_85,0,none,0.01,6,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,overall,overall,11422,0.0412043936274632,0.1489716570102986,0.0939572592504966,0.0882507441779023,0.0584403492217231
1,design_cv,pca_only,pca_only_var_85_C0.01,var_85,0,none,0.01,6,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_btc,4030,0.0209342274989558,0.0792523619403994,0.0634455562365669,0.0,0.0634455562365669
1,design_cv,pca_only,pca_only_var_85_C0.01,var_85,0,none,0.01,6,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_eth,1680,0.0002874336702761,0.0147435304308957,0.014597402073664,0.0,0.014597402073664
1,design_cv,pca_only,pca_only_var_85_C0.01,var_85,0,none,0.01,6,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.0001161136852703,0.0107989180938192,0.0107404365181795,0.0,0.0107404365181795
1,design_cv,pca_only,pca_only_var_85_C0.01,var_85,0,none,0.01,6,2024-08-06 17:00:00+00:00,2025-05-22 22:00:00+00:00,2025-05-22 23:00:00+00:00,2025-06-05 22:00:00+00:00,ok,broad_family,crypto_policy,336,0.0207131683521144,0.1537387392078922,0.1422161376516393,0.0,0.1422161376516393
