fold,representation,model,class_weight,prob_decile,n_obs,avg_pred,avg_actual
1,market_probability,market_probability,none,0,8151,0.032387317359643945,0.0
1,market_probability,market_probability,none,1,2350,0.15110787234042553,0.09489361702127659
1,market_probability,market_probability,none,2,820,0.25102439024390244,0.01097560975609756
1,market_probability,market_probability,none,3,1156,0.3427378892733564,0.03892733564013841
1,market_probability,market_probability,none,4,525,0.4473047619047619,0.0
1,market_probability,market_probability,none,5,731,0.5653214774281806,0.655266757865937
1,market_probability,market_probability,none,6,451,0.6429933481152994,0.5099778270509978
1,market_probability,market_probability,none,7,568,0.7453080985915492,0.5017605633802817
1,market_probability,market_probability,none,8,97,0.8322164948453608,0.14432989690721648
1,market_probability,market_probability,none,9,1,0.905,0.0
1,tda,tda_168h_balanced,balanced,0,13162,0.00907086968818885,0.043230512080230966
1,tda,tda_168h_balanced,balanced,1,448,0.14707915555086656,0.48214285714285715
1,tda,tda_168h_balanced,balanced,2,410,0.25391955455796394,0.3926829268292683
1,tda,tda_168h_balanced,balanced,3,249,0.3469669865225821,0.2931726907630522
1,tda,tda_168h_balanced,balanced,4,134,0.4397956676834386,0.35074626865671643
1,tda,tda_168h_balanced,balanced,5,64,0.5613136445276217,0.203125
1,tda,tda_168h_balanced,balanced,6,97,0.644672399162862,0.32989690721649484
1,tda,tda_168h_balanced,balanced,7,87,0.7660719375221331,0.40229885057471265
1,tda,tda_168h_balanced,balanced,8,88,0.8164001730981618,0.9204545454545454
1,tda,tda_168h_balanced,balanced,9,111,0.9309110728924856,0.5225225225225225
1,tda,tda_168h_standard,standard,0,14407,0.0053740549756000735,0.07406122024016103
1,tda,tda_168h_standard,standard,1,180,0.1447483889349444,0.24444444444444444
1,tda,tda_168h_standard,standard,2,35,0.2373402371585808,0.11428571428571428
1,tda,tda_168h_standard,standard,3,112,0.3190269620046382,1.0
1,tda,tda_168h_standard,standard,4,12,0.4827614761852684,0.0
1,tda,tda_168h_standard,standard,5,81,0.5484792053145534,0.43209876543209874
1,tda,tda_168h_standard,standard,6,23,0.6410870892072632,1.0
