fold,representation,model,n_components,class_weight,train_start,train_end,test_start,test_end,status,eval_group_type,eval_group,n_obs,brier,log_loss,avg_pred,avg_actual,window_hours
1,market_probability,market_probability,0,none,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,overall,overall,14850,0.0710430490964637,0.2372572298995641,0.179405893858482,0.0865319865319865,0
1,market_probability,market_probability,0,none,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_btc,3112,0.1038299279402313,0.317256533114195,0.2197331298200514,0.0,0
1,market_probability,market_probability,0,none,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_eth,1937,0.1300533144037171,0.4098266385948609,0.2880191017036654,0.0,0
1,market_probability,market_probability,0,none,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.0067626488095238,0.0856045043466494,0.0820238095238095,0.0,0
1,market_probability,market_probability,0,none,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_policy,336,0.0343520089285714,0.2045071845186382,0.1848363095238095,0.0,0
1,market_probability,market_probability,0,none,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,macro_fed_rates,9129,0.0510617535691188,0.1801572797174028,0.1459973736223526,0.1407602147004053,0
1,market_probability,market_probability,0,none,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,26-50,1740,0.0596524352011494,0.2221190726134762,0.202378448275862,0.1,0
1,market_probability,market_probability,0,none,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,51-100,13110,0.0725548468216999,0.2392664132464591,0.1763569049426741,0.0847444698703279,0
1,tda,tda_24h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,overall,overall,14850,0.0759238843679633,0.353502497419406,0.0172221247028504,0.0865319865319865,24
1,tda,tda_24h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_btc,3112,0.008055367528268,0.0297905321707068,0.0227075451450109,0.0,24
1,tda,tda_24h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_eth,1937,0.002719826743456,0.0220083254306781,0.020408605758918,0.0,24
1,tda,tda_24h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,3.4925874933245485e-05,0.0027225774237933,0.0027049455939916,0.0,24
1,tda,tda_24h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_policy,336,0.0001943195016983,0.0064531966364891,0.0063537756581672,0.0,24
1,tda,tda_24h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,macro_fed_rates,9129,0.1201726419397156,0.5598741115258474,0.0156104142458435,0.1407602147004053,24
1,tda,tda_24h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,26-50,1740,0.0417381287886623,0.1352211681389046,0.1038635902003778,0.1,24
1,tda,tda_24h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,51-100,13110,0.0804611242389004,0.3824734747609828,0.0057227997626752,0.0847444698703279,24
1,tda,tda_24h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,overall,overall,14850,0.0697527554398308,0.2617802860986106,0.0590722888381527,0.0865319865319865,24
1,tda,tda_24h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_btc,3112,0.0360687784271612,0.1298673041569315,0.0766345486799442,0.0,24
1,tda,tda_24h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_eth,1937,0.038946492329355,0.1285531982490505,0.0929689539426563,0.0,24
1,tda,tda_24h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.0010173736900314,0.0146908174965495,0.0141540055406454,0.0,24
1,tda,tda_24h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_policy,336,0.0059960963635551,0.0379621024770855,0.0345205681329945,0.0,24
1,tda,tda_24h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,macro_fed_rates,9129,0.0926483183520864,0.3523486988616984,0.0484501318012174,0.1407602147004053,24
1,tda,tda_24h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,26-50,1740,0.0831970678196616,0.2968787458449105,0.2633385720911562,0.1,24
1,tda,tda_24h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,51-100,13110,0.0679683844603567,0.2571219092901772,0.0319614320219646,0.0847444698703279,24
1,tda,tda_72h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,overall,overall,14850,0.0760589885657604,0.353258085383719,0.0169779195979498,0.0865319865319865,72
1,tda,tda_72h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_btc,3112,0.0078485743481275,0.0293482691154707,0.0225232498463675,0.0,72
1,tda,tda_72h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_eth,1937,0.0028327897412723,0.0223524321793394,0.0206801340515258,0.0,72
1,tda,tda_72h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,3.0127715677618894e-05,0.002541700564329,0.0025265029312267,0.0,72
1,tda,tda_72h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_policy,336,0.0001684887838209,0.0060387227029062,0.0059526848739839,0.0,72
1,tda,tda_72h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,macro_fed_rates,9129,0.1204400665962859,0.5595761935712248,0.0152397114412644,0.1407602147004053,72
1,tda,tda_72h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,26-50,1740,0.0422412653294359,0.1350807100493591,0.100980851165928,0.1,72
1,tda,tda_72h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,51-100,13110,0.0805473820387737,0.382215265634046,0.00582878909236,0.0847444698703279,72
1,tda,tda_72h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,overall,overall,14850,0.0694656271187612,0.259610634040153,0.0581408069783052,0.0865319865319865,72
1,tda,tda_72h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_btc,3112,0.0360142073350669,0.1280782868218379,0.0760828061983432,0.0,72
1,tda,tda_72h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_eth,1937,0.0400152944000274,0.1300110702447853,0.0927618985028711,0.0,72
1,tda,tda_72h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.0007678024959021,0.0127781892622372,0.0123761388316943,0.0,72
1,tda,tda_72h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_policy,336,0.0047093215113009,0.0334409450540616,0.0307883039221975,0.0,72
1,tda,tda_72h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,macro_fed_rates,9129,0.0920296210502358,0.34935668909106,0.0473697273056434,0.1407602147004053,72
1,tda,tda_72h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,26-50,1740,0.0774550357166015,0.2783751085330521,0.2508818525829402,0.1,72
1,tda,tda_72h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,51-100,13110,0.0684052479455925,0.2571201545880062,0.032559615570825,0.0847444698703279,72
1,tda,tda_168h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,overall,overall,14850,0.0768341395017085,0.3611854776737327,0.0143085255544309,0.0865319865319865,168
1,tda,tda_168h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_btc,3112,0.0056575969421256,0.0236036204761826,0.0192837930615319,0.0,168
1,tda,tda_168h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_eth,1937,0.0022508076434375,0.0195675516766564,0.0182857928240339,0.0,168
1,tda,tda_168h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,1.166254878060957e-05,0.0016415545547588,0.0016356912836872,0.0,168
1,tda,tda_168h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_policy,336,6.841863514033964e-05,0.0039714995808554,0.0039368297839288,0.0,168
1,tda,tda_168h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,macro_fed_rates,9129,0.1225757266111667,0.5751299751063426,0.0126167699306538,0.1407602147004053,168
1,tda,tda_168h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,26-50,1740,0.0469035178510486,0.1383705238887358,0.0782922022810604,0.1,168
1,tda,tda_168h_standard,0,standard,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,51-100,13110,0.0808066247551142,0.3907581717687667,0.0058164128538713,0.0847444698703279,168
1,tda,tda_168h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,overall,overall,14850,0.0680546773053753,0.257853110348409,0.0521883207987807,0.0865319865319865,168
1,tda,tda_168h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_btc,3112,0.032935634710342,0.1118546103757414,0.0692928140890602,0.0,168
1,tda,tda_168h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_eth,1937,0.0368904629299189,0.1181378676929789,0.0838886978552088,0.0,168
1,tda,tda_168h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_microstrategy,336,0.0002212075238873,0.0070943662769925,0.0069810643730654,0.0,168
1,tda,tda_168h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,crypto_policy,336,0.0015826526910009,0.0195142837069522,0.0186687499922209,0.0,168
1,tda,tda_168h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,broad_family,macro_fed_rates,9129,0.0915821381354786,0.3552693159238318,0.0425289277077952,0.1407602147004053,168
1,tda,tda_168h_balanced,0,balanced,2024-08-06 17:00:00+00:00,2025-08-03 06:00:00+00:00,2025-08-03 07:00:00+00:00,2025-08-17 06:00:00+00:00,ok,active_market_count_bucket,26-50,1740,0.0560431763085229,0.2044223366072389,0.2009634563026134,0.1,168
