hypothesis,target,task,fold,model,feature_set,placebo_type,n_obs,metric_primary,brier,log_loss,mse,mae,auc
baseline,Y_i,classification,1,market_only,market_probability,none,14850,0.33847007680152524,0.0753597197694052,0.33847007680152524,,,0.8774734417511304
baseline,Y_i,classification,1,pca_only,pca,none,14850,0.2003250955401247,0.05972014063106941,0.2003250955401247,,,0.9126136013229285
H1_local_topology,Y_i,classification,1,pca_plus_local_broad_family_ph,local_broad_family,real,14850,0.22549085566424984,0.06648012814766621,0.22549085566424984,,,0.8862171329568972
H1_local_topology,Y_i,classification,1,pca_plus_local_broad_family_ph_shuffle,local_broad_family,shuffle,14850,0.20363041219525346,0.06085163401740242,0.20363041219525346,,,0.9100090212709809
H1_local_topology,Y_i,classification,1,pca_plus_local_broad_family_ph_future_shift,local_broad_family,future_shift,14850,0.23519944646403032,0.06989291019737869,0.23519944646403032,,,0.8834655449120175
H1_local_topology,Y_i,classification,1,pca_plus_local_broad_domain_ph,local_broad_domain,real,14850,0.18393119750065573,0.05162546047409687,0.18393119750065573,,,0.9059796540937782
H1_local_topology,Y_i,classification,1,pca_plus_local_broad_domain_ph_shuffle,local_broad_domain,shuffle,14850,0.2000336802596599,0.05964032304608275,0.2000336802596599,,,0.9126269396091166
H1_local_topology,Y_i,classification,1,pca_plus_local_broad_domain_ph_future_shift,local_broad_domain,future_shift,14850,0.19442033504052705,0.056372110603606584,0.19442033504052705,,,0.9065429600382078
H1_local_topology,Y_i,classification,1,pca_plus_top_corr_k10_local_graph,local_top_corr_k10,real,14850,0.25184606937307275,0.06483214894097161,0.25184606937307275,,,0.9161643678441169
H1_local_topology,Y_i,classification,1,pca_plus_top_corr_k10_local_graph_shuffle,local_top_corr_k10,shuffle,14850,0.17055838828896808,0.04704915787657251,0.17055838828896808,,,0.9379491739585021
H1_local_topology,Y_i,classification,1,pca_plus_top_corr_k20_local_graph,local_top_corr_k20,real,14850,0.14032446463466847,0.034740990182168044,0.14032446463466847,,,0.9333411259521457
H1_local_topology,Y_i,classification,1,pca_plus_top_corr_k20_local_graph_shuffle,local_top_corr_k20,shuffle,14850,0.1636147701669473,0.04375771244157348,0.1636147701669473,,,0.939929665639284
H1_local_topology,Y_i,classification,1,pca_plus_top_corr_k40_local_graph,local_top_corr_k40,real,14850,0.22849369610151202,0.04683562603606868,0.22849369610151202,,,0.8119675406351605
H1_local_topology,Y_i,classification,1,pca_plus_top_corr_k40_local_graph_shuffle,local_top_corr_k40,shuffle,14850,0.20383241485495654,0.06190696139101588,0.20383241485495654,,,0.8973204387005353
H1_local_topology,Y_i,classification,1,pca_plus_nearest_pca_k10_local_graph,local_nearest_pca_k10,real,14850,0.3146479081479297,0.05770429831450394,0.3146479081479297,,,0.8522243815266171
H1_local_topology,Y_i,classification,1,pca_plus_nearest_pca_k10_local_graph_shuffle,local_nearest_pca_k10,shuffle,14850,0.19113075166132984,0.04643251770560689,0.19113075166132984,,,0.8944145568031714
H1_local_topology,Y_i,classification,1,pca_plus_nearest_pca_k20_local_graph,local_nearest_pca_k20,real,14850,0.21846235283168586,0.04935587968450531,0.21846235283168586,,,0.894819352275612
H1_local_topology,Y_i,classification,1,pca_plus_nearest_pca_k20_local_graph_shuffle,local_nearest_pca_k20,shuffle,14850,0.18497761556096062,0.057866014305313525,0.18497761556096062,,,0.9407736205989035
H1_local_topology,Y_i,classification,1,pca_plus_nearest_pca_k40_local_graph,local_nearest_pca_k40,real,14850,0.15835097820476035,0.04459863961971777,0.15835097820476035,,,0.9365302097839915
H1_local_topology,Y_i,classification,1,pca_plus_nearest_pca_k40_local_graph_shuffle,local_nearest_pca_k40,shuffle,14850,0.2301717930256203,0.04910375674532463,0.2301717930256203,,,0.8520869828366375
H2_graph_topology,Y_i,classification,1,pca_plus_graph_topology,graph_topology,real,14850,0.19839684636195576,0.059097748120382466,0.19839684636195576,,,0.914623580655756
H2_graph_topology,Y_i,classification,1,pca_plus_graph_topology_shuffle,graph_topology,shuffle,14850,0.2001490481978766,0.05967251947606755,0.2001490481978766,,,0.912396976081441
H2_graph_topology,Y_i,classification,1,pca_plus_graph_topology_future_shift,graph_topology,future_shift,14850,0.20214676386273134,0.06009424649700627,0.20214676386273134,,,0.9135250795635943
H3_regime_volatility,large_move_24h,classification,1,pca_large_move_24h,pca,none,14850,0.07819373496995377,0.015393551366744909,0.07819373496995377,,,0.8462050695059354
H3_regime_volatility,large_move_24h,classification,1,pca_plus_topology_large_move_24h,residual_topology,real,14850,0.0912503371943539,0.017583711038811213,0.0912503371943539,,,0.8585404833380127
H3_regime_volatility,large_move_72h,classification,1,pca_large_move_72h,pca,none,14850,0.17313821359578394,0.043154621204710454,0.17313821359578394,,,0.8653435565226308
H3_regime_volatility,large_move_72h,classification,1,pca_plus_topology_large_move_72h,residual_topology,real,14850,0.18106847321806668,0.04480765656436808,0.18106847321806668,,,0.8708329260828322
H3_regime_volatility,abs_move_24h,regression,1,pca_abs_move_24h,pca,none,14850,0.0008660201670169392,,,0.0008660201670169392,0.013249400135645751,
H3_regime_volatility,abs_move_24h,regression,1,pca_plus_topology_abs_move_24h,residual_topology,real,14850,0.0008703817209053952,,,0.0008703817209053952,0.014888677502938529,
H3_regime_volatility,abs_move_72h,regression,1,pca_abs_move_72h,pca,none,14850,0.0012506361741587947,,,0.0012506361741587947,0.020421803748304535,
H3_regime_volatility,abs_move_72h,regression,1,pca_plus_topology_abs_move_72h,residual_topology,real,14850,0.0012673141330135267,,,0.0012673141330135267,0.02216840120365583,
H4_topology_change,Y_i,classification,1,pca_plus_topology_change,topology_change,real,14850,0.20042798391014982,0.05975305228335906,0.20042798391014982,,,0.9127042443000339
H4_topology_change,Y_i,classification,1,pca_plus_topology_change_shuffle,topology_change,shuffle,14850,0.20022665833116252,0.05968724296719301,0.20022665833116252,,,0.9126403352642773
H4_topology_change,Y_i,classification,1,pca_plus_topology_change_future_shift,topology_change,future_shift,14850,0.20037273214574888,0.05974044940387354,0.20037273214574888,,,0.9126084381153718
H5_interactions,Y_i,classification,1,logistic_interactions,topology_interactions,real,14850,0.2179183561943429,0.06457804567023212,0.2179183561943429,,,0.9142414459275918
H5_interactions,Y_i,classification,1,xgboost_interactions,topology_interactions,real,14850,0.193528728064689,0.056733127929321836,0.193528728064689,,,0.911834387249172
H6_uncertainty_signal,miscalibration_indicator,classification,1,pca_error_miscalibration_indicator,pca,none,14850,0.3395836635931949,0.11372091226724289,0.3395836635931949,,,0.9666222135834383
H6_uncertainty_signal,miscalibration_indicator,classification,1,pca_plus_topology_error_miscalibration_indicator,residual_topology,real,14850,0.34502427715540424,0.11585392827268752,0.34502427715540424,,,0.96550596650032
H6_uncertainty_signal,market_abs_error,regression,1,pca_error_market_abs_error,pca,none,14850,0.03679701528047497,,,0.03679701528047497,0.14979896918199176,
H6_uncertainty_signal,market_abs_error,regression,1,pca_plus_topology_error_market_abs_error,residual_topology,real,14850,0.03748015273971867,,,0.03748015273971867,0.15207881435347623,
H6_uncertainty_signal,market_squared_error,regression,1,pca_error_market_squared_error,pca,none,14850,0.028604364255204493,,,0.028604364255204493,0.12905665278961162,
H6_uncertainty_signal,market_squared_error,regression,1,pca_plus_topology_error_market_squared_error,residual_topology,real,14850,0.029233851457857476,,,0.029233851457857476,0.1313844672467759,
baseline,Y_i,classification,2,market_only,market_probability,none,17934,0.2722622686520402,0.0667193948868239,0.2722622686520402,,,0.9123347308332616
baseline,Y_i,classification,2,pca_only,pca,none,17934,0.185151393110408,0.053140418009048056,0.185151393110408,,,0.9109826855320188
H1_local_topology,Y_i,classification,2,pca_plus_local_broad_family_ph,local_broad_family,real,17934,0.19260390591973178,0.05502902116682563,0.19260390591973178,,,0.904438856238698
H1_local_topology,Y_i,classification,2,pca_plus_local_broad_family_ph_shuffle,local_broad_family,shuffle,17934,0.18580759094106036,0.05333578048105258,0.18580759094106036,,,0.9110749178363329
H1_local_topology,Y_i,classification,2,pca_plus_local_broad_family_ph_future_shift,local_broad_family,future_shift,17934,0.19096113354618233,0.05448076982220079,0.19096113354618233,,,0.9044091660925974
H1_local_topology,Y_i,classification,2,pca_plus_local_broad_domain_ph,local_broad_domain,real,17934,0.17278388218772425,0.048515806142999406,0.17278388218772425,,,0.9231549502712477
H1_local_topology,Y_i,classification,2,pca_plus_local_broad_domain_ph_shuffle,local_broad_domain,shuffle,17934,0.18578976275561654,0.05334043424822,0.18578976275561654,,,0.9102637758689974
H1_local_topology,Y_i,classification,2,pca_plus_local_broad_domain_ph_future_shift,local_broad_domain,future_shift,17934,0.17776864397880565,0.05027695231749876,0.17776864397880565,,,0.9157134873991791
H1_local_topology,Y_i,classification,2,pca_plus_top_corr_k10_local_graph,local_top_corr_k10,real,17934,0.14397838855515568,0.03899358793659534,0.14397838855515568,,,0.9390784887267144
H1_local_topology,Y_i,classification,2,pca_plus_top_corr_k10_local_graph_shuffle,local_top_corr_k10,shuffle,17934,0.20194739891010635,0.057162103681092535,0.20194739891010635,,,0.8773042827363013
H1_local_topology,Y_i,classification,2,pca_plus_top_corr_k20_local_graph,local_top_corr_k20,real,17934,0.12485430090985372,0.03201701226643906,0.12485430090985372,,,0.9382076300984529
H1_local_topology,Y_i,classification,2,pca_plus_top_corr_k20_local_graph_shuffle,local_top_corr_k20,shuffle,17934,0.2150741939366938,0.059165303827706066,0.2150741939366938,,,0.8579411946740723
H1_local_topology,Y_i,classification,2,pca_plus_top_corr_k40_local_graph,local_top_corr_k40,real,17934,0.16602630955089462,0.039130412507336065,0.16602630955089462,,,0.8896275321837596
H1_local_topology,Y_i,classification,2,pca_plus_top_corr_k40_local_graph_shuffle,local_top_corr_k40,shuffle,17934,0.18540998277058288,0.05105444676432321,0.18540998277058288,,,0.8895986941717616
H1_local_topology,Y_i,classification,2,pca_plus_nearest_pca_k10_local_graph,local_nearest_pca_k10,real,17934,0.16443664317408505,0.045557432185612236,0.16443664317408505,,,0.9410098506702259
H1_local_topology,Y_i,classification,2,pca_plus_nearest_pca_k10_local_graph_shuffle,local_nearest_pca_k10,shuffle,17934,0.1533664071693328,0.04636991072661165,0.1533664071693328,,,0.9484957814877004
H1_local_topology,Y_i,classification,2,pca_plus_nearest_pca_k20_local_graph,local_nearest_pca_k20,real,17934,0.2229979785121327,0.05118057188297927,0.2229979785121327,,,0.7754604887841212
H1_local_topology,Y_i,classification,2,pca_plus_nearest_pca_k20_local_graph_shuffle,local_nearest_pca_k20,shuffle,17934,0.1662562522571732,0.042911848761683226,0.1662562522571732,,,0.8841347878813973
H1_local_topology,Y_i,classification,2,pca_plus_nearest_pca_k40_local_graph,local_nearest_pca_k40,real,17934,0.12534180928400326,0.033190284475573845,0.12534180928400326,,,0.981645771441488
H1_local_topology,Y_i,classification,2,pca_plus_nearest_pca_k40_local_graph_shuffle,local_nearest_pca_k40,shuffle,17934,0.16572951098521277,0.039289842402700996,0.16572951098521277,,,0.8899482261258933
H2_graph_topology,Y_i,classification,2,pca_plus_graph_topology,graph_topology,real,17934,0.1852427299733786,0.05315296506761649,0.1852427299733786,,,0.9111965711917678
H2_graph_topology,Y_i,classification,2,pca_plus_graph_topology_shuffle,graph_topology,shuffle,17934,0.1851679709429982,0.053139356259933254,0.1851679709429982,,,0.9109382848603577
H2_graph_topology,Y_i,classification,2,pca_plus_graph_topology_future_shift,graph_topology,future_shift,17934,0.18527603955165878,0.05315103981762915,0.18527603955165878,,,0.9104649019417894
H3_regime_volatility,large_move_24h,classification,2,pca_large_move_24h,pca,none,17934,0.05048397056765127,0.009880005452996018,0.05048397056765127,,,0.9222237065633323
H3_regime_volatility,large_move_24h,classification,2,pca_plus_topology_large_move_24h,residual_topology,real,17934,0.05015956980248492,0.009963702480970957,0.05015956980248492,,,0.9006840994956875
H3_regime_volatility,large_move_72h,classification,2,pca_large_move_72h,pca,none,17934,0.10423495325727247,0.022935820418873286,0.10423495325727247,,,0.9154593460223376
H3_regime_volatility,large_move_72h,classification,2,pca_plus_topology_large_move_72h,residual_topology,real,17934,0.10183173380515188,0.02277271430981084,0.10183173380515188,,,0.9122505705420799
H3_regime_volatility,abs_move_24h,regression,2,pca_abs_move_24h,pca,none,17934,0.0003542763159969871,,,0.0003542763159969871,0.011124925563142558,
